battery,capacity,SOC,maxTemp,tempIncreaseRate,initialVoltage,voltageRange,finalVoltageChange,voltageDrop2,voltageDrop5,voltageDropScore,OHS,CHS,chemistry
1500mAh3-40S0C,1500,40,95.373,5.724999999999492,3.78295898,3.78143311,3.74938964,0.0036621100000000517,0.00396729000000029,3,2.0,24.05094046331793,LCO
1500mAh3-60S0C,1500,60,99.129,4.329999999999629,3.85375977,3.8577270500000003,3.8082885799999997,0.0036621100000000517,0.0033569300000002578,3,2.0,26.839621161199602,LCO
1500mAh3-80S0C,1500,80,95.795,3.5750000000002027,3.98803711,3.9916992199999997,3.91479492,0.0033569299999998137,0.0033569299999998137,3,2.0,29.27104361067265,LCO
2000mAh1-100S0C,2000,100,83.699,3.364999999999244,4.14611816,4.14337158,4.07897949,0.0042724600000001445,0.0042724600000001445,3,3.0,35.8968505896779,LCO
2000mAh1-20S0C,2000,20,93.149,4.365000000000236,3.74572754,3.79119873,3.73443604,0.005187990000000031,0.004882810000000237,3,2.0,21.66429222421838,LCO
2000mAh1-40S0C,2000,40,86.549,2.905000000000163,3.79089355,3.78326416,3.7332153299999997,0.007019039999999865,0.007019039999999865,3,2.0,24.613984122181726,LCO
2000mAh1-60S0C,2000,60,67.765,2.120000000000118,3.85314941,3.72009277,3.6715698199999998,0.004577639999999938,0.004577639999999938,3,3.0,26.61621417895971,LCO
2000mAh1-80S0C,2000,80,74.759,3.2600000000001903,3.98956299,3.86169434,3.83544922,0.003356940000000197,0.002441409999999866,3,3.0,31.32203693892051,LCO
2000mAh2-100S0C,2000,100,72.513,1.5499999999998793,4.1506958,4.14794922,4.11437988,0.004577640000000827,0.004882810000000681,3,3.0,34.51701569959058,LCO
2000mAh2-20S0C,2000,20,81.492,2.5199999999994516,3.75427246,3.7426757800000003,3.71002197,0.0036621100000000517,0.0039672800000003505,3,2.0,20.316849020697497,LCO
2000mAh2-40S0C,2000,40,87.564,2.60999999999977,3.79547119,3.79150391,3.75213623,0.002746580000000165,0.003051759999999959,3,2.0,24.62319561485714,LCO
2000mAh2-60S0C,2000,60,66.669,1.7250000000000925,3.86810303,3.7866211,3.7548828199999997,0.004577639999999938,0.003967289999999846,3,3.0,26.418476713616627,LCO
2000mAh2-80S0C,2000,80,59.503,1.385000000000084,3.98834229,3.93341065,3.8992309599999997,0.0042724600000001445,0.008544929999999784,3,3.0,29.424633544412778,LCO
500mAh1-100S0C,500,100,77.753,3.2299999999999227,4.13208008,4.19219971,4.13024903,0.002136229999999628,0.0015258799999999795,3,2.0,21.12319460589596,LCO
500mAh1-20S0C,500,20,48.749,2.0600000000001124,3.74572754,3.81225586,3.74572754,0.0015258799999999795,0.002441409999999866,3,2.0,14.132766622030603,LCO
