mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_estimators,param_min_samples_split,param_min_samples_leaf,param_max_depth,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,split10_test_score,split11_test_score,split12_test_score,split13_test_score,split14_test_score,mean_test_score,std_test_score,rank_test_score
0.048342355092366535,0.0043744981421988405,0.004398552576700846,0.006014492706552246,37,8,7,5,"{'n_estimators': 37, 'min_samples_split': 8, 'min_samples_leaf': 7, 'max_depth': 5}",0.7222222222222222,0.6666666666666666,0.7222222222222222,0.5294117647058824,0.7647058823529411,0.7777777777777778,0.6111111111111112,0.6111111111111112,0.6470588235294118,0.5882352941176471,0.7222222222222222,0.6111111111111112,0.8888888888888888,0.6470588235294118,0.5882352941176471,0.6732026143790849,0.089862348712623,144
0.17329227129618327,0.007161782380503182,0.00942843755086263,0.005708562112433185,135,7,9,13,"{'n_estimators': 135, 'min_samples_split': 7, 'min_samples_leaf': 9, 'max_depth': 13}",0.7222222222222222,0.6666666666666666,0.6666666666666666,0.5294117647058824,0.6470588235294118,0.6666666666666666,0.5555555555555556,0.6111111111111112,0.7058823529411765,0.5882352941176471,0.6111111111111112,0.6666666666666666,0.8888888888888888,0.5294117647058824,0.5294117647058824,0.6389978213507626,0.09095593123538774,196
0.08066587448120117,0.007155421769699223,0.006082407633463542,0.005034745740710638,62,2,5,10,"{'n_estimators': 62, 'min_samples_split': 2, 'min_samples_leaf': 5, 'max_depth': 10}",0.7222222222222222,0.7222222222222222,0.7777777777777778,0.5294117647058824,0.8235294117647058,0.7777777777777778,0.6666666666666666,0.6111111111111112,0.6470588235294118,0.7058823529411765,0.7222222222222222,0.5555555555555556,0.8333333333333334,0.7058823529411765,0.7058823529411765,0.7004357298474946,0.08504828274962159,44
0.15274581909179688,0.009033843776616687,0.006614096959431966,0.007304629559915726,113,6,2,14,"{'n_estimators': 113, 'min_samples_split': 6, 'min_samples_leaf': 2, 'max_depth': 14}",0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5294117647058824,0.7647058823529411,0.6666666666666666,0.7222222222222222,0.6666666666666666,0.7647058823529411,0.7058823529411765,0.7222222222222222,0.6666666666666666,0.8333333333333334,0.5882352941176471,0.7058823529411765,0.6891067538126361,0.07008887627105027,109
0.13342464764912923,0.006729638867186416,0.00788729985555013,0.007550209279756049,105,6,6,12,"{'n_estimators': 105, 'min_samples_split': 6, 'min_samples_leaf': 6, 'max_depth': 12}",0.7222222222222222,0.7222222222222222,0.6666666666666666,0.5294117647058824,0.8235294117647058,0.7777777777777778,0.6666666666666666,0.6666666666666666,0.7058823529411765,0.6470588235294118,0.6666666666666666,0.5555555555555556,0.9444444444444444,0.6470588235294118,0.5882352941176471,0.6886710239651417,0.10088439900635171,114
0.06703440348307292,0.006667095506831779,0.0031262556711832683,0.006252514084502235,49,6,1,9,"{'n_estimators': 49, 'min_samples_split': 6, 'min_samples_leaf': 1, 'max_depth': 9}",0.7777777777777778,0.6666666666666666,0.7777777777777778,0.6470588235294118,0.8823529411764706,0.7222222222222222,0.6666666666666666,0.6666666666666666,0.7647058823529411,0.6470588235294118,0.6666666666666666,0.6666666666666666,0.8333333333333334,0.5882352941176471,0.7058823529411765,0.7119825708061003,0.07717647747646655,7
0.2811428705851237,0.008093944311703289,0.02039036750793457,0.005654821952087915,209,5,2,9,"{'n_estimators': 209, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_depth': 9}",0.6666666666666666,0.6666666666666666,0.7222222222222222,0.5294117647058824,0.8235294117647058,0.7222222222222222,0.7222222222222222,0.7222222222222222,0.7647058823529411,0.7058823529411765,0.6666666666666666,0.6666666666666666,0.8333333333333334,0.47058823529411764,0.7058823529411765,0.6925925925925926,0.09114828955688718,91
0.28169933954874676,0.007067813968040406,0.01756941477457682,0.0024811085732857107,223,8,6,5,"{'n_estimators': 223, 'min_samples_split': 8, 'min_samples_leaf': 6, 'max_depth': 5}",0.7777777777777778,0.7222222222222222,0.7222222222222222,0.5294117647058824,0.8235294117647058,0.7222222222222222,0.6666666666666666,0.6111111111111112,0.6470588235294118,0.6470588235294118,0.6666666666666666,0.5555555555555556,0.8888888888888888,0.6470588235294118,0.6470588235294118,0.6849673202614379,0.09178915811736525,119
0.08869798978169759,0.008288641390686203,0.006751235326131185,0.0062961867769500005,69,7,7,10,"{'n_estimators': 69, 'min_samples_split': 7, 'min_samples_leaf': 7, 'max_depth': 10}",0.7777777777777778,0.6666666666666666,0.6666666666666666,0.5294117647058824,0.7647058823529411,0.7777777777777778,0.5555555555555556,0.6111111111111112,0.7058823529411765,0.6470588235294118,0.6111111111111112,0.6111111111111112,0.8888888888888888,0.6470588235294118,0.5882352941176471,0.6699346405228758,0.09396016842199485,145
0.11088212331136067,0.005182299347718558,0.005206696192423503,0.003910713888048293,83,2,5,8,"{'n_estimators': 83, 'min_samples_split': 2, 'min_samples_leaf': 5, 'max_depth': 8}",0.7222222222222222,0.7222222222222222,0.6666666666666666,0.5294117647058824,0.8235294117647058,0.7777777777777778,0.7222222222222222,0.6111111111111112,0.7058823529411765,0.7058823529411765,0.6666666666666666,0.5555555555555556,0.7777777777777778,0.7058823529411765,0.7058823529411765,0.6932461873638345,0.07676021597759056,80
