X,Y,Coef_Spearman,Coef_Pearson
voltageDrop5,SOC,-0.1477089238953435,-0.16165268000491664
voltageDrop5,maxTemp,0.052534113349761255,0.14596826370479027
voltageDrop5,tempIncreaseRate,0.47406680302259335,0.27138111579272056
voltageDrop5,initialVoltage,-0.4836310401537403,-0.37178852986935707
voltageDrop5,voltageRange,-0.34940998466877715,-0.19992162430349508
voltageDrop5,finalVoltageChange,-0.33778399512821305,-0.2156480291500097
voltageDrop5,voltageDrop2,0.8786789499601593,0.552776542770993
voltageDrop5,voltageDrop5,0.9999999999999998,1.0
voltageDrop5,voltageDropScore,-0.356083887918948,-0.17426070477435518
voltageDrop5,OHS,0.45356604877841883,0.27527879630202257
voltageDropScore,capacity,-0.46443115080680775,-0.5212732067515176
voltageDropScore,SOC,-0.035421216036433556,-0.03835488519067015
voltageDropScore,maxTemp,0.7432222332258719,0.7080176747909519
voltageDropScore,tempIncreaseRate,0.2951488570843374,0.2619530401094977
voltageDropScore,initialVoltage,0.3562168872337328,0.3781207235215227
voltageDropScore,voltageRange,0.8293342901005879,0.9639887053821066
voltageDropScore,finalVoltageChange,0.8293464056602523,0.9790822298884687
voltageDropScore,voltageDrop2,-0.40391641287196645,-0.3639940573840234
voltageDropScore,voltageDrop5,-0.35608388791894807,-0.17426070477435518
voltageDropScore,voltageDropScore,1.0,0.9999999999999999
voltageDropScore,OHS,0.32781857964562716,0.3632972576150029
OHS,capacity,0.46685336819648326,0.37323739165343073
OHS,SOC,0.056182661343070636,0.15803866718814621
OHS,maxTemp,0.6951214166666281,0.8150427867329699
OHS,tempIncreaseRate,0.839102858744338,0.8122333535674011
OHS,initialVoltage,-0.00157695076426556,0.16121396624773032
OHS,voltageRange,0.3810917943842845,0.40573246563771426
OHS,finalVoltageChange,0.40881933641555257,0.3818976407444341
OHS,voltageDrop2,0.4338964819288995,0.29366255362054405
OHS,voltageDrop5,0.45356604877841883,0.27527879630202257
OHS,voltageDropScore,0.32781857964562716,0.3632972576150029
OHS,OHS,1.0,1.0
